Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
You Talk Too Much,13,0.719,0.0376,0.797,1.43e-05,0.075,0.727,128.272,-5.897330999999999
Can't Get Enough Of You Baby,0,0.662,0.0291,0.0128,0.0,0.448,0.823,123.728,-4.14315
One In A Million,27,0.748,0.0907,0.327,1.43e-05,0.096,0.334,104.175,-3.180372
Life Is A Highway,65,0.683,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,-7.648184
IDGAF,83,0.836,0.0943,0.0403,0.0,0.0824,0.51,97.028,-3.2504
As Long as You Love Me,0,0.804,0.0305,0.275,3.29e-05,0.215,0.826,98.12,-3.9184920000000005
Come & Get It,0,0.349,0.0758,0.0102,0.000138,0.0812,0.542,148.985,-3.2857350000000003
Temperature,84,0.951,0.0685,0.106,0.0,0.0712,0.822,125.04,-2.8049999999999997
Philadelphia Freedom,0,0.702,0.0298,0.0744,2e-05,0.072,0.799,125.199,-5.288448
Who Dat Girl (feat. Akon),60,0.719,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,-2.433816
True Colours,0,0.704,0.0297,0.64,1.72e-06,0.085,0.236,86.952,-2.157792
Set Adrift On Memory Bliss,52,0.737,0.0777,0.00682,0.2,0.537,0.587,99.773,-6.195168000000001
Don't You Worry Child,65,0.632,0.0463,0.0144,0.0021,0.118,0.338,129.007,-3.56488
Colors Of The Wind - End Title,54,0.574,0.0476,0.365,1.32e-05,0.126,0.126,84.018,-4.301136
Beneath Your Beautiful (feat. Emeli Sand̩),72,0.561,0.0318,0.227,0.0,0.104,0.238,83.962,-3.057354
Wouldn't It Be Nice,73,0.392,0.0335,0.718,3.76e-06,0.129,0.72,124.511,-4.438224
Together,64,0.521,0.0683,0.0132,0.0806,0.0929,0.199,180.007,-4.774388
Sweat - Remix,73,0.813,0.03,0.0597,0.00137,0.0826,0.731,130.02,-4.125552
True - Single Edit,73,0.742,0.0288,0.459,0.148,0.064,0.391,97.395,-4.849234000000001
One,64,0.464,0.0418,0.877,0.0,0.0789,0.306,93.528,-3.56952
Stay,79,0.69,0.0622,0.253,0.0,0.116,0.544,102.04,-3.12555
Oh My Goodness,43,0.638,0.0681,0.0244,0.0,0.169,0.756,128.035,-4.390001
Titanium (feat. Sia),63,0.604,0.103,0.0678,0.153,0.127,0.301,126.06,-2.894324
Dream Girl,7,0.617,0.0512,0.494,0.0,0.293,0.949,128.363,-6.068734000000001
View From a Bridge,17,0.593,0.0353,0.0486,0.000584,0.115,0.813,148.719,-5.009837999999999
Wrapped Up (feat. Travie McCoy),0,0.787,0.0549,0.0915,0.0,0.15,0.947,121.989,-3.9822079999999995
you broke me first,85,0.667,0.05,0.785,0.0,0.0906,0.0823,124.148,-3.5020969999999996
Like It Like That,50,0.585,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,-2.815862
No Pressure,0,0.644,0.215,0.121,0.0,0.279,0.554,148.889,-4.0918149999999995
I Wanna Be With You,58,0.515,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,-4.205856
I'm In Control,55,0.725,0.0347,0.363,0.000716,0.125,0.711,104.001,-3.1287079999999996
Can't Remember to Forget You,0,0.694,0.0661,0.122,0.0,0.141,0.824,137.968,-2.88036
"It Ain't Me, Babe (with June Carter Cash)",51,0.634,0.03,0.271,0.0,0.165,0.623,105.642,-3.8712649999999997
Forever Young,54,0.379,0.0307,0.0167,0.000679,0.0915,0.301,115.272,-4.557032
It's Too Late,72,0.45,0.0353,0.493,0.00564,0.134,0.812,208.282,-5.6213560000000005
Billionaire (feat. Bruno Mars),76,0.633,0.258,0.297,0.0,0.206,0.659,86.776,-4.309219
Star Wars Theme/Cantina Band,40,0.677,0.0912,0.00121,0.916,0.322,0.545,124.929,-3.5309850000000003
Jump In My Car,49,0.769,0.109,0.488,1.09e-06,0.316,0.857,123.057,-8.706796
Safe And Sound,0,0.653,0.033,0.00021,0.0047,0.0838,0.762,117.949,-3.992454
Witchcraft,64,0.42,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,-3.0416909999999997
'74-'75,0,0.53,0.025,0.183,0.00227,0.0675,0.43,144.202,-5.40971
Two Princes,74,0.543,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,-9.767520000000001
Sorry,37,0.699,0.0276,0.00993,0.0,0.11,0.578,94.979,-2.4527600000000005
I Begin to Wonder,0,0.768,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,-6.855732000000001
iYiYi (feat. Flo Rida),43,0.629,0.0287,0.0395,0.0,0.349,0.787,159.951,-3.0995790000000003
This Is Tomorrow,37,0.421,0.0407,0.152,0.444,0.0948,0.512,119.46,-5.34996
Impossible,81,0.376,0.0933,0.135,0.0,0.11,0.302,169.533,-3.3234899999999996
Hello - Edited Version,20,0.653,0.0352,0.219,0.0,0.921,0.552,123.086,-4.15064
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",11,0.216,0.0431,0.663,0.0,0.882,0.301,75.017,-4.423808
working,65,0.783,0.0588,0.282,0.0,0.0833,0.512,106.974,-3.3843
Love Me Like You,0,0.783,0.0432,0.199,0.0,0.274,0.842,106.05,-2.6364500000000004
death bed (coffee for your head),84,0.726,0.135,0.731,0.0,0.696,0.348,144.026,-3.777715
Borrow My Heart,43,0.571,0.0303,0.08,0.0,0.478,0.741,122.955,-3.5735699999999997
Always,30,0.648,0.05,0.00266,0.0,0.0717,0.594,108.012,-2.53008
Nasty Girl - Main,0,0.937,0.0473,0.0566,0.000373,0.0273,0.939,122.007,-4.93626
Always On Time,52,0.839,0.199,0.208,0.0,0.242,0.839,96.673,-4.309424
Cream - Without Rap Monologue,57,0.852,0.0675,0.103,0.421,0.0468,0.826,115.592,-5.122787999999999
Love Action (I Believe In Love),56,0.702,0.0321,0.0805,0.0193,0.184,0.728,121.738,-5.726532
Never Gonna Fall in Love Again - Live,10,0.557,0.0259,0.776,0.0667,0.0989,0.569,99.83,-4.8050999999999995
You Should Hear How She Talks About You,45,0.753,0.115,0.212,2.93e-05,0.259,0.852,131.909,-5.434343999999999
(Everything I Do) I Do It For You,0,0.52,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,-4.593764999999999
I've Gotta Get A Message To You,59,0.442,0.0281,0.037,4.46e-06,0.172,0.497,83.414,-3.770892
I Wish I Was a Punk Rocker (with Flowers in My Hair),63,0.7,0.358,0.544,0.0,0.606,0.719,108.102,-3.1689750000000005
Heart of Gold - 2017 Remaster,0,0.542,0.0295,0.212,0.0519,0.102,0.827,171.719,-5.135748
Shake Ya Tailfeather - Radio,0,0.715,0.262,0.134,0.0,0.157,0.897,87.665,-5.180844
