Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
Purpose,0,0.481,0.0424,0.9,0.0,0.123,0.316,130.029,-3.0916799999999998
Black And White,70,0.443,0.0482,0.0301,0.0,0.127,0.239,147.589,-3.5036399999999994
Song Sung Blue - Single Version,0,0.55,0.0329,0.487,1.1e-05,0.289,0.373,109.158,-5.237454
Summer Rain - Remastered,46,0.514,0.033,0.25,0.00428,0.575,0.626,117.684,-6.408792
Circles on the Water,14,0.611,0.316,0.113,3.41e-05,0.125,0.263,114.967,-4.972407
Stargazing,69,0.677,0.0809,0.152,0.0,0.0911,0.419,99.137,-2.864211
Bring Me Some Water,54,0.685,0.0379,0.0165,1.2e-06,0.107,0.674,125.678,-7.768916
Big Yellow Taxi,51,0.669,0.0494,0.00204,0.0,0.137,0.827,88.029,-3.7669950000000005
Follow Me,76,0.817,0.0301,0.439,0.0,0.147,0.916,105.014,-2.7424799999999996
Closing Time,77,0.478,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,-4.657716
I'd Die To Be With You Tonight - Remastered,31,0.566,0.0819,0.0167,1.62e-05,0.0175,0.531,115.063,-3.9760039999999996
Boogie Shoes,56,0.93,0.0579,0.454,0.192,0.0692,0.972,119.538,-8.932482
Memories,31,0.764,0.0546,0.837,0.0,0.0822,0.575,91.019,-2.30688
The First Time Ever I Saw Your Face,66,0.311,0.037,0.731,0.00205,0.156,0.139,120.653,-0.5714016
Sometimes,14,0.433,0.0264,0.0857,0.0,0.168,0.196,101.199,-2.825716
When You Walk in the Room,0,0.614,0.0288,0.13,0.0,0.2,0.594,113.108,-7.349729999999999
Same Old Love,0,0.672,0.0307,0.021,0.0,0.147,0.428,98.043,-2.2765289999999996
I Think We're Alone Now,0,0.75,0.0485,0.0247,0.00414,0.0215,0.946,130.515,-8.760591
Secret,40,0.769,0.027,0.0581,2.23e-06,0.114,0.453,100.094,-4.010615
Hot Hot Hot,43,0.759,0.0428,0.00185,0.00056,0.0552,0.835,120.025,-6.6547659999999995
Life Goes On,51,0.701,0.0297,0.653,0.0,0.0753,0.505,106.968,-3.64452
The Prize (feat. Bridgette Amofah),29,0.7,0.0384,0.316,0.00355,0.104,0.408,123.986,-3.4136159999999998
Get Busy,16,0.735,0.036,0.615,0.0,0.158,0.726,100.202,-3.4138319999999998
Black Is Black,20,0.687,0.0673,0.287,0.013,0.261,0.963,133.204,-6.493996999999999
Raspberry Beret,69,0.761,0.0438,0.21,0.000426,0.0685,0.91,120.752,-8.548530000000001
Rude,85,0.773,0.0381,0.0422,0.0,0.305,0.925,144.033,-3.7846940000000004
The Way We Were,65,0.264,0.0325,0.885,0.00141,0.134,0.171,138.108,-3.74912
Rush - Single Version,38,0.777,0.0546,0.0916,0.0,0.332,0.71,124.037,-8.85016
The Archer,84,0.292,0.0401,0.12,0.00569,0.0663,0.166,124.344,-5.38125
deja vu,18,0.439,0.116,0.593,1.07e-05,0.341,0.172,181.088,-4.413959999999999
Long Cool Woman (In a Black Dress) - 1999 Remaster,73,0.757,0.062,0.411,0.00221,0.355,0.815,138.923,-8.094968
U + Ur Hand,0,0.706,0.0556,0.00125,0.0,0.033,0.882,141.025,-3.282188
She Wolf (Falling to Pieces) [feat. Sia],71,0.492,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,-2.257338
Pump It,0,0.648,0.181,0.00937,0.0,0.752,0.744,153.649,-2.93265
You've Got A Way,0,0.555,0.0305,0.36,0.0,0.244,0.266,134.16,-4.120019999999999
"""The Take Over, The Breaks Over""",0,0.609,0.0477,0.00614,1.96e-05,0.0775,0.67,149.948,-2.350271
The Chain - 2004 Remaster,67,0.522,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,-5.24725
Down in the Boondocks,46,0.675,0.0457,0.492,9.45e-06,0.0953,0.94,82.949,-6.486228
Mountain Sound,66,0.379,0.0359,0.042,0.00431,0.146,0.381,102.023,-3.808764
If I Only Had Time,0,0.37,0.034,0.438,4.82e-06,0.112,0.284,81.223,-3.291408
Take It All,0,0.411,0.031,0.953,0.0,0.167,0.303,137.801,-2.265228
Dear Darlin',0,0.514,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,-3.8684159999999994
Because You Loved Me,0,0.611,0.0305,0.304,0.0,0.107,0.175,119.92,-4.043325
Candy Shop,46,0.615,0.465,0.0284,4.92e-05,0.387,0.752,127.12,-4.557064
Lithium,67,0.483,0.0356,0.214,0.0,0.0974,0.212,117.988,-2.414206
This Is Who I Am,0,0.583,0.118,0.0435,0.0,0.131,0.564,146.071,-1.9726629999999998
Splish Splash,63,0.645,0.0393,0.385,0.0,0.37,0.965,147.768,-1.439018
I Like To Move It (feat. The Mad Stuntman) - Radio Mix,43,0.832,0.0528,0.00891,0.000389,0.122,0.57,122.947,-3.9833339999999997
Look Into My Eyes,0,0.791,0.054,0.123,4.74e-05,0.121,0.433,115.986,-3.86274
You've Got What It Takes,4,0.671,0.0866,0.643,0.0,0.426,0.964,136.727,-5.6038749999999995
There's a Kind of Hush,0,0.759,0.0378,0.263,0.000425,0.0642,0.915,129.631,-3.6971220000000002
Candy,42,0.818,0.0905,0.164,4.36e-05,0.165,0.638,100.503,-3.5530649999999997
The Man,0,0.531,0.0434,0.0332,0.0,0.235,0.504,85.996,-5.54785
It Was Always You,0,0.61,0.0441,0.0731,1.32e-06,0.1,0.31,103.982,-4.964652
Orinoco Flow - 2009 Remaster,65,0.692,0.0292,0.743,0.109,0.1,0.561,114.999,-5.005306
Young And Beautiful [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix Radio Edit,0,0.586,0.0515,0.0486,0.000596,0.387,0.356,126.021,-4.310082
Bad Medicine,73,0.555,0.035,0.048,0.0,0.0853,0.805,118.642,-3.7012919999999996
Art of Love (feat. Jordin Sparks),51,0.541,0.0402,0.024,0.0,0.133,0.532,137.971,-2.871384
My My My!,68,0.701,0.0836,0.00407,0.000151,0.045,0.482,102.967,-3.549042
The Wild Boys,59,0.741,0.0637,0.407,0.0,0.138,0.586,115.689,-6.387236
Place Your Hands,58,0.507,0.0864,0.0303,0.0,0.238,0.535,109.369,-4.421538
"Mama Do (Uh Oh, Uh Oh)",0,0.703,0.0811,0.129,0.0,0.319,0.617,120.034,-4.234999999999999
Glycerine,0,0.447,0.0325,0.0365,0.00124,0.0945,0.0827,114.422,-3.842474
Every Little Thing She Does Is Magic - Remastered 2003,0,0.535,0.0335,0.127,0.0792,0.179,0.376,163.913,-7.541634999999999
Separate Ways,44,0.462,0.0443,0.901,0.0092,0.133,0.506,89.976,-5.685946
Celebrity Skin,0,0.443,0.0457,1.35e-05,0.000101,0.369,0.733,134.145,-5.522048000000001
Talk Dirty (feat. 2 Chainz),75,0.76,0.232,0.0348,0.0,0.307,0.759,100.315,-4.773292
Heard 'Em Say,40,0.741,0.17,0.0557,0.0431,0.129,0.537,95.058,-5.849663
(You're The) Devil In Disguise,0,0.483,0.126,0.542,0.000401,0.301,0.877,122.606,-8.101452
Push Up,50,0.844,0.0572,0.0067,0.0064,0.0268,0.963,134.973,-4.187125
The Original High,42,0.681,0.0374,0.00747,0.0,0.0786,0.773,122.986,-4.19601
Are You With Me,51,0.763,0.035,0.262,2.5e-05,0.12,0.394,121.02,-4.924799999999999
Check On It (feat. Bun B & Slim Thug),62,0.705,0.267,0.0708,0.0,0.388,0.864,166.042,-5.44862
Chances,0,0.401,0.0291,0.0236,0.0,0.224,0.326,163.987,-4.528092
Love in This Club (feat. Young Jeezy),75,0.573,0.0732,0.0572,0.0,0.167,0.346,140.012,-4.254912
Move,0,0.85,0.0918,0.00436,3.33e-06,0.549,0.765,121.17,-3.3863700000000003
"Just the Way It Is, Baby",54,0.794,0.0295,0.329,2.67e-06,0.0764,0.823,110.738,-5.339843
The Boll Weevil Song,0,0.795,0.208,0.468,0.0619,0.0708,0.911,139.888,-3.2117759999999995
Come and Get Your Love - Radio Edit,27,0.737,0.0379,0.0193,1.31e-05,0.342,0.793,108.819,-5.666112
More Than a Feeling,83,0.377,0.0298,0.00088,0.0023,0.0504,0.285,108.789,-5.474559
Straight Lines,60,0.543,0.0289,0.0317,0.00237,0.109,0.165,127.471,-4.1867600000000005
Heaven (Must Be There) - 2007 Remastered,48,0.588,0.045,0.0115,0.00468,0.0592,0.589,122.496,-6.193539
Wouldn't Change a Thing,12,0.672,0.0513,0.104,0.158,0.0522,0.844,110.167,-4.603481
Hey Mr. D.J. - Original Mix - Edit,25,0.861,0.0636,0.0461,0.00459,0.0998,0.885,101.307,-4.11412
Pretty Girl - Cheat Codes X CADE Remix,61,0.703,0.0291,0.15,0.132,0.104,0.733,121.03,-4.045748
Drive Away,22,0.486,0.0362,0.000165,0.0,0.0878,0.256,77.502,-4.27045
Livin' Thing,74,0.549,0.0323,0.583,0.0,0.121,0.368,122.818,-4.620147
Roar,0,0.56,0.0415,0.00635,1.29e-05,0.55,0.404,179.771,-3.641652
A Pub With No Beer - 1979 Version,47,0.58,0.0892,0.535,0.0,0.0635,0.723,166.486,-4.924472
Waiting for Superman,62,0.555,0.0269,0.0029,0.0,0.0662,0.383,105.987,-3.8949020000000005
Passerby,18,0.638,0.107,0.00153,0.0,0.105,0.408,117.007,-3.649824
The Brick Track Versus Gitty Up - Rickidy Raw Hide Radio Mix,46,0.819,0.0421,0.0404,1.18e-06,0.0828,0.664,103.989,-5.70103
We've Got Tonight,31,0.606,0.0301,0.506,1.36e-05,0.0935,0.198,123.631,-2.81372
My Kind of Girl,24,0.616,0.0391,0.56,0.0,0.157,0.413,130.849,-2.6085
Decode - Twilight Soundtrack Version,54,0.282,0.0588,0.000705,0.0055,0.101,0.277,163.987,-3.6571179999999996
Light It Up (feat. Nyla & Fuse ODG) - Remix,59,0.746,0.0666,0.0375,0.000833,0.233,0.751,107.985,-3.316814
2step (feat. Budjerah),45,0.727,0.0555,0.212,0.0,0.114,0.565,94.958,-2.9708639999999997
Strong,55,0.486,0.0355,0.729,3.04e-05,0.077,0.251,76.082,-4.384835
Beautiful Day,0,0.541,0.052,0.0225,0.000441,0.353,0.449,136.282,-6.148478000000001
Get Down on It,24,0.708,0.0614,0.0741,0.00018,0.275,0.822,118.032,-6.230714
The Prayer,36,0.217,0.0302,0.768,8.26e-06,0.0847,0.109,138.822,-2.36118
Let Me Love You,77,0.656,0.0922,0.235,0.0,0.118,0.556,94.514,-5.18466
Dance with Me Tonight,73,0.672,0.0589,0.305,0.0,0.0811,0.964,163.984,-4.429656
A Horse with No Name,81,0.654,0.0535,0.686,0.0155,0.155,0.831,123.179,-8.69308
Radioactive,0,0.473,0.059,0.119,7.87e-05,0.671,0.21,136.249,-2.873346
Talkin' Bout a Revolution,74,0.561,0.0281,0.329,0.000228,0.0755,0.671,118.975,-4.522296
My Sweet Lord - Remastered 2014,23,0.537,0.0335,0.0972,0.0,0.0832,0.583,120.919,-6.248012999999999
Forgotten Years - Remastered,43,0.549,0.0582,0.036,1.79e-05,0.107,0.664,152.253,-5.763985000000001
Nobody's Love,14,0.486,0.0379,0.31,0.0,0.0949,0.154,93.68,-3.660552
Love Grows (Where My Rosemary Goes) - Re-Recorded,41,0.566,0.0299,0.0064,0.0,0.228,0.639,117.724,-6.9104600000000005
Better Together,78,0.871,0.0522,0.298,9.24e-06,0.108,0.659,110.054,-3.280426
Slow Down - Remastered 2009,39,0.494,0.0628,0.707,4.64e-06,0.314,0.839,168.618,-5.854273
Turtle Power,38,0.622,0.0441,0.119,0.0,0.185,0.55,105.937,-9.063912
Hit 'Em Up Style (Oops!),72,0.667,0.0586,0.201,0.0,0.404,0.667,89.976,-3.8518589999999997
The Rain The Park And Other Things,56,0.376,0.0404,0.809,0.00131,0.683,0.691,131.582,-5.806402000000001
Wind Of Change,0,0.453,0.0366,0.297,0.0,0.0928,0.282,151.362,-5.487558
One More Night,80,0.716,0.0314,0.0558,0.0,0.0844,0.618,92.997,-2.820135
Sealed with a Kiss,14,0.557,0.0253,0.64,0.0,0.151,0.589,96.007,-5.050136
B with Me,23,0.778,0.0448,0.0263,5.28e-05,0.0952,0.917,102.046,-2.9833439999999998
Somebody To Love - Remastered 2011,72,0.497,0.0565,0.19,0.0,0.215,0.358,111.539,-4.8676319999999995
Quicksand - Standard Version,0,0.732,0.04,0.00339,2.44e-05,0.191,0.946,137.03,-3.0982380000000003
Live Your Life,52,0.434,0.224,0.0582,0.0,0.2,0.453,108.34,-3.1392059999999997
He Walks Like A Man,20,0.484,0.0334,0.688,0.0,0.0556,0.674,120.523,-3.75975
But It's Better If You Do,56,0.467,0.0716,0.0617,0.0,0.29,0.674,170.036,-2.597424
Tired Of Talking,3,0.769,0.101,0.0859,7e-06,0.044,0.84,105.021,-3.3508800000000005
good 4 u,5,0.629,0.119,0.294,0.0,0.101,0.685,83.387,-3.258629
New Beginning,23,0.532,0.0256,0.00931,0.000403,0.106,0.816,83.975,-3.478608
We Don't Need Another Hero (Thunderdome),72,0.69,0.047,0.2,0.00648,0.115,0.714,98.85,-3.953684
Rock Your Body,80,0.892,0.141,0.201,0.000234,0.0521,0.817,100.972,-4.32327
Stay With Me,2,0.479,0.0389,0.568,0.000217,0.11,0.186,85.014,-2.730623
One,80,0.392,0.0369,0.245,0.00104,0.155,0.325,181.305,-4.695462
Rehab,67,0.434,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,-2.593328
How to Save a Life,83,0.64,0.0379,0.269,0.0,0.101,0.361,122.035,-3.03144
Impossible,13,0.741,0.0401,0.011,0.00106,0.162,0.928,120.021,-3.467915
Release Me,54,0.205,0.0293,0.839,1.06e-05,0.105,0.275,87.107,-3.311724
Best of You,61,0.377,0.07,0.00092,8.88e-05,0.126,0.348,129.955,-4.279506
Baby I Love You,43,0.556,0.0331,0.485,0.000324,0.142,0.717,109.155,-5.026564
Super Freak,75,0.838,0.0531,0.22,0.0,0.0575,0.962,132.446,-6.54653
F**kin' Perfect,0,0.563,0.0372,0.0422,0.0,0.36,0.45,91.965,-3.2127480000000004
Enjoy the Silence - 2006 - Remaster,0,0.65,0.0272,0.0837,6.32e-05,0.103,0.75,112.93,-6.2937
Love Plus One,55,0.786,0.0445,0.034,0.546,0.0998,0.958,136.923,-7.500119
Nobody I Know - Mono; 2002 Remaster,28,0.595,0.0311,0.717,0.0,0.247,0.801,131.558,-5.572208
"More, More, More",52,0.663,0.0311,0.517,0.000139,0.111,0.847,103.009,-4.336992
The Ghost Inside,64,0.869,0.0419,0.0571,0.414,0.0691,0.983,103.983,-3.4762
Unforgettable - Mariah Carey Acoustic Remix,35,0.637,0.0324,0.689,1.11e-06,0.107,0.661,102.989,-4.656288000000001
Spin the Black Circle - Remastered,49,0.236,0.095,0.00063,0.0586,0.407,0.141,217.913,-4.671810000000001
Collide - Radio Edit,50,0.595,0.0259,0.0717,1.71e-06,0.448,0.459,124.993,-1.529485
Brick by Boring Brick,61,0.436,0.0496,9.56e-05,0.000438,0.209,0.5,164.975,-2.078052
Bigger Than Us,0,0.322,0.0495,0.000118,0.00144,0.0834,0.347,142.663,-4.800059
Silver Lady,45,0.715,0.0294,0.36,9.22e-05,0.0736,0.768,111.268,-6.326658
Iris,87,0.315,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,-5.7714799999999995
Half-Breed,47,0.646,0.0325,0.524,0.0,0.329,0.877,102.704,-5.920626
Demons,78,0.505,0.0321,0.19,0.00025,0.329,0.428,89.938,-2.14065
Are You Gonna Be My Girl,80,0.613,0.0855,0.00148,0.000582,0.152,0.537,105.046,-3.273555
Hey Paula,29,0.478,0.0285,0.838,0.00336,0.139,0.58,108.975,-3.74472
Waiting for a Star to Fall,65,0.662,0.027,0.145,0.00011,0.137,0.592,116.346,-5.092696
Dammit,0,0.347,0.0845,1.32e-05,0.000167,0.1,0.287,110.487,-4.725825
U Can't Touch This,77,0.867,0.0875,0.00456,0.000339,0.0864,0.866,133.148,-6.835774
Drown (feat. Clinton Kane),69,0.573,0.0581,0.212,0.0,0.175,0.363,120.077,-4.031245
Happenin' All Over Again - Radio,28,0.617,0.0547,0.000957,7.51e-06,0.305,0.856,124.038,-7.450064
Beautiful (feat. Camila Cabello),75,0.638,0.0337,0.346,0.0,0.105,0.249,100.027,-3.3856740000000003
Denise,17,0.532,0.0874,0.632,0.0,0.0792,0.901,125.446,-8.099114000000002
So Long,52,0.556,0.0407,0.00697,0.000926,0.0545,0.891,126.841,-5.75232
Holding Back the Years - 2008 Remaster,72,0.707,0.0281,0.58,0.000159,0.0953,0.524,86.035,-4.56689
Whatever It Takes,0,0.673,0.0312,0.0428,0.0,0.127,0.536,134.938,-3.3196590000000006
"Where Do I Begin - Love Theme from ""Love Story""",59,0.259,0.0324,0.512,1.5e-06,0.4,0.232,84.897,-4.818451
Susie Darlin,6,0.53,0.0337,0.171,2.36e-05,0.082,0.66,129.982,-4.743072000000001
Sk8er Boi,80,0.487,0.0482,6.79e-05,0.0,0.358,0.484,149.937,-3.9753
Ugly Heart,71,0.649,0.0482,0.0167,0.0,0.255,0.458,124.993,-4.36791
She Wants To Move,59,0.766,0.0786,0.00402,0.000744,0.256,0.8,115.012,-4.111181
Turn Back Time,0,0.682,0.0274,0.149,1.65e-06,0.0692,0.537,103.989,-7.268562
I'm Shakin',56,0.586,0.235,0.0142,0.00105,0.0673,0.755,80.753,-7.850612
Pony Time,37,0.453,0.0296,0.00868,3.43e-05,0.0797,0.96,77.36,-4.057158
All Loved Up,50,0.565,0.177,0.0264,4.02e-05,0.0738,0.171,177.996,-3.81699
Right Here Waiting,79,0.395,0.0301,0.8,0.0,0.101,0.126,177.679,-3.4244280000000002
Don't Give Up,64,0.671,0.0508,0.831,0.000818,0.0911,0.331,80.806,-4.018034
Breakeven,77,0.63,0.0242,0.144,0.0,0.0835,0.491,94.034,-3.132696
Born to Be Alive - The Original,76,0.704,0.0315,0.0834,0.0,0.206,0.808,131.468,-5.041344
Nothing Really Matters,0,0.404,0.0363,0.888,0.0,0.111,0.275,135.075,-1.986525
Ready to Go (Get Me Out of My Mind),55,0.57,0.0424,0.000463,0.000188,0.363,0.32,135.01,-5.009226
Seventeen Forever,47,0.569,0.0329,0.00172,0.00054,0.136,0.687,139.979,-3.9975130000000005
All For You - Acoustic Version,0,0.605,0.0321,0.876,0.0,0.326,0.688,135.309,-3.561957
How Do You Do!,0,0.619,0.0275,0.0194,1.68e-06,0.218,0.852,120.874,-4.74048
You & Me,0,0.692,0.178,0.0371,0.0,0.186,0.681,85.022,-5.401875
Pamela Pamela,31,0.508,0.0306,0.845,0.000652,0.216,0.851,128.417,-6.192253999999999
EveryTime I Cry,67,0.727,0.0366,0.181,0.0,0.0615,0.213,127.035,-3.6000639999999997
Substitute,52,0.373,0.0398,0.245,2.07e-06,0.0743,0.75,135.832,-8.473416
Beautiful Sunday,56,0.676,0.0306,0.309,0.0,0.288,0.91,121.923,-6.090765
The Spartans,5,0.411,0.0403,0.199,0.552,0.21,0.522,143.951,-5.922960000000001
Westside,54,0.685,0.0406,0.19,0.0,0.158,0.372,82.52,-4.1323
Raining In My Heart,48,0.674,0.0353,0.87,0.000387,0.117,0.596,105.159,-2.250508
"Never, Never Gonna Give Ya Up - Long Version",48,0.583,0.0612,0.113,0.0,0.0513,0.96,85.323,-7.753368
My Prerogative,0,0.758,0.0504,0.0605,0.0,0.288,0.645,110.608,-6.797976
Fall Of Rome,41,0.429,0.0352,0.0494,1.84e-06,0.203,0.74,157.417,-8.258436
Right On Track,0,0.756,0.0322,0.0605,5.28e-05,0.0264,0.94,116.985,-8.416034999999999
When Julie Comes Around,0,0.668,0.0374,0.207,0.0,0.0815,0.874,119.317,-4.900461
Stole the Show,79,0.64,0.226,0.271,0.0,0.319,0.475,100.034,-4.803775
Everything Has Changed,0,0.631,0.0283,0.349,2.57e-06,0.336,0.426,80.029,-3.1635
Water Song/Janie's Got A Gun,47,0.617,0.0313,0.0978,0.000251,0.144,0.368,115.532,-3.98334
Concrete And Clay,38,0.56,0.0414,0.0972,0.0,0.0682,0.862,92.652,-5.547669
Circles,36,0.452,0.0294,0.0115,0.00747,0.243,0.223,78.964,-5.4532099999999994
1-2-3,26,0.65,0.0409,0.145,0.0,0.305,0.736,126.564,-4.841146
"Let It Go - From ""Frozen""/Soundtrack Version",0,0.539,0.0311,0.546,0.0,0.12,0.37,137.062,-3.338385
Give Me Something,35,0.576,0.055,0.186,0.0,0.0977,0.885,85.98,-4.8019620000000005
What To Do,34,0.728,0.0581,0.281,0.0,0.103,0.339,99.914,-2.8692480000000002
Take Back The City,50,0.525,0.0579,0.00288,5.44e-06,0.117,0.334,130.115,-4.21356
Lay Down (Candles In The Rain) - Long Version,37,0.286,0.0617,0.112,0.197,0.1,0.66,92.113,-8.74038
Praise You - Radio Edit,69,0.622,0.0467,0.0403,0.371,0.282,0.561,109.722,-5.93606
Big World,26,0.629,0.0761,0.0839,0.0,0.113,0.457,75.888,-2.8978560000000004
One Too Many,70,0.697,0.068,0.247,0.0,0.569,0.594,82.959,-3.47964
Lush Life,83,0.694,0.046,0.132,0.0,0.211,0.799,98.023,-2.793176
Another Night,53,0.812,0.0399,0.099,0.00441,0.135,0.885,125.916,-6.661692
Regular Touch,0,0.617,0.132,0.181,5.68e-06,0.111,0.462,93.833,-4.33011
If I Ever Fall In Love,0,0.631,0.0349,0.0949,0.0,0.285,0.183,128.019,-3.720656
The Wonder of You,64,0.448,0.0286,0.286,0.00111,0.945,0.633,88.836,-4.807287
Show Me Love - Radio Version,62,0.546,0.0437,0.0745,0.0,0.213,0.704,181.838,-2.616367
Day 'N' Nite - Crookers Remix,70,0.756,0.0462,0.0326,0.0503,0.0552,0.962,129.993,-3.3445199999999997
Been Waiting,52,0.677,0.0428,0.149,0.0,0.0451,0.783,113.996,-2.993868
Sarah,44,0.632,0.0498,0.0337,8.61e-06,0.153,0.502,130.044,-3.40938
Sara,64,0.741,0.031,0.384,0.0235,0.0933,0.589,126.819,-6.476884000000001
Happiness,64,0.711,0.131,0.133,0.0,0.461,0.489,127.99,-5.473864
Believe Me,68,0.629,0.0408,0.129,1.39e-06,0.29,0.645,124.999,-4.881072
One Night In Bangkok - Radio Edit / From âChessâ / Remastered 2016,66,0.954,0.108,0.193,0.00295,0.0637,0.839,108.842,-4.114924
Troglodyte (Cave Man),17,0.806,0.0857,0.00581,0.00498,0.124,0.877,133.465,-7.563664999999999
Catch the Wind,63,0.385,0.0296,0.452,7.69e-06,0.128,0.547,173.377,-3.7109349999999997
Wild At Heart,41,0.463,0.0469,0.000258,1.58e-05,0.154,0.294,100.485,-5.005024000000001
The Chain - 2004 Remaster,67,0.522,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,-5.24725
Young at Heart,0,0.493,0.0404,0.001,3.21e-05,0.261,0.39,122.525,-3.076544
Say What You Want,68,0.633,0.0706,0.2,0.0,0.396,0.803,95.894,-4.988812
Diamonds,51,0.634,0.0367,0.322,2.53e-05,0.317,0.964,157.878,-4.1232299999999995
Creepin' (with The Weeknd & 21 Savage),95,0.715,0.0484,0.417,0.0,0.0822,0.172,97.95,-3.7231
Dangerously,79,0.696,0.0366,0.364,0.0,0.197,0.23,112.291,-4.331943
Watercolour - Full Version; Single,61,0.421,0.103,0.000174,0.039,0.323,0.169,174.065,-5.103616
I Still Haven't Found What I'm Looking For - Remastered 2007,0,0.565,0.0351,0.0139,0.00488,0.079,0.686,100.891,-7.20452
Walk Away,38,0.125,0.0338,0.786,0.000925,0.183,0.308,174.54,-4.89039
Come Together,0,0.825,0.0381,0.112,0.000678,0.0782,0.765,89.601,-4.774775
All I Wanna Do,0,0.82,0.0321,0.111,0.0186,0.257,0.931,120.091,-5.902512000000001
Wildest Dreams,77,0.554,0.0747,0.0702,0.00593,0.106,0.472,140.056,-4.937724
Music To My Heart,10,0.755,0.0505,0.00773,0.00031,0.0502,0.509,116.877,-5.585532000000001
Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,56,0.62,0.0579,0.135,0.788,0.184,0.949,195.926,-4.238303999999999
In the Name of Love,83,0.501,0.0409,0.109,0.0,0.454,0.168,133.99,-3.05172
Take Me To Your Heart - Remastered Version,25,0.63,0.0257,0.0171,0.0334,0.123,0.82,132.648,-5.268416
Tell Me,26,0.44,0.0271,0.729,2.48e-06,0.0881,0.479,102.095,-3.9877919999999993
She's Like A Comet,0,0.463,0.0436,7.58e-05,0.000867,0.138,0.585,145.013,-3.5461790000000004
Bow Chicka Wow Wow,46,0.614,0.0443,0.408,0.0,0.0523,0.585,73.49,-3.534192
(Baby I've Got You) On My Mind,0,0.364,0.0974,0.00123,0.000129,0.105,0.715,146.566,-2.980299
Dirty Deeds Done Dirt Cheap,77,0.668,0.17,0.214,0.00245,0.135,0.507,135.653,-4.422186
We Think It's Love,3,0.663,0.0295,0.0183,0.0,0.136,0.589,102.062,-4.217295999999999
Selfish,31,0.718,0.234,0.134,0.0,0.273,0.943,99.609,-3.37404
All My Love (Solo Tu),33,0.218,0.0277,0.373,0.0,0.0971,0.559,181.04,-3.7596
Daytrip to Bangor (Single Version) (Day Trip to Bangor - Didn't We Have a Lovely Time),31,0.703,0.0527,0.831,0.0,0.192,0.942,135.111,-4.695552
Rollover DJ,0,0.488,0.0525,0.000321,5.19e-06,0.0976,0.622,133.607,-3.4593570000000002
This Heart Attack,52,0.625,0.0428,0.0201,0.0,0.146,0.733,122.017,-3.401592
7 Seconds (feat. Neneh Cherry),50,0.679,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,-7.134334000000001
Don't Wanna Know (feat. Kendrick Lamar),0,0.775,0.0701,0.341,0.0,0.0985,0.485,100.048,-3.804422
Heaven,43,0.432,0.184,0.0345,0.0234,0.288,0.27,106.6,-2.9593079999999996
Vasoline,0,0.297,0.111,0.00141,0.000167,0.0911,0.323,168.893,-4.890605
Somethin' Stupid,69,0.654,0.0261,0.429,5.62e-06,0.174,0.677,106.191,-6.275275000000001
The Bad Touch,0,0.827,0.0377,0.00355,0.0253,0.101,0.969,122.984,-4.666509
Ridin' Solo,71,0.442,0.146,0.128,0.0,0.129,0.578,89.338,-3.3365999999999993
Freedom of Choice - 2009 Remaster,27,0.823,0.0331,0.284,0.013,0.0702,0.96,140.262,-7.88319
The Orange and the Green,46,0.789,0.0368,0.637,2.01e-06,0.0312,0.965,117.007,-4.552020000000001
Tennessee Flat Top Box - 1988 Version,20,0.656,0.0432,0.268,0.00108,0.133,0.692,97.158,-6.864000000000001
"Sitting, Waiting, Wishing",73,0.766,0.0264,0.229,1.5e-05,0.104,0.556,105.01,-3.9657500000000003
Show Me,18,0.787,0.0717,0.044,0.0,0.329,0.959,133.984,-2.459436
My Hero,60,0.364,0.0659,6.01e-05,0.000251,0.0603,0.301,153.981,-3.9072000000000005
We've Only Just Begun,20,0.303,0.0397,0.427,0.0,0.126,0.176,173.909,-3.0756300000000003
Bless My Soul,0,0.135,0.147,4.82e-05,1.5e-05,0.284,0.275,215.537,-3.6890479999999997
Cigarettes Will Kill You,0,0.709,0.0279,0.0424,0.00184,0.0777,0.533,114.948,-4.691288999999999
Rain,55,0.592,0.026,0.0883,0.00134,0.131,0.16,92.419,-6.021960000000001
Hush Hush; Hush Hush / I Will Survive - Medley,61,0.613,0.0689,0.0985,0.0,0.356,0.626,129.483,-3.0598739999999998
Rosanna,76,0.365,0.0357,0.0208,0.000147,0.205,0.739,80.647,-6.686442
S Club Party,0,0.643,0.0435,0.0681,0.0,0.313,0.774,101.984,-5.782941
At My Best (feat. Hailee Steinfeld),0,0.531,0.219,0.00231,0.00013,0.238,0.214,169.862,-5.224576
Take It Home,42,0.683,0.0382,0.0235,0.0,0.098,0.797,130.043,-2.796402
Take Cover,0,0.618,0.0465,0.08,0.0,0.0947,0.138,131.859,-3.5772749999999998
