Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity,Cluster,PCA1,PCA2,Cluster Label
Two Princes,74,0.543,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,-9.76752,1,0.398137138149121,-0.27270494441166476,"Popular, Moderate Dance, Positive Vibes"
Sorry,37,0.699,0.0276,0.00993,0.0,0.11,0.578,94.979,-2.4527600000000005,1,0.020763551984910034,-0.13508548313288798,"Popular, Moderate Dance, Positive Vibes"
I Begin to Wonder,0,0.768,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,-6.855732000000001,2,-0.33898426262415293,-0.4712125049760713,"Upbeat, Less Popular, Positive"
iYiYi (feat. Flo Rida),43,0.629,0.0287,0.0395,0.0,0.349,0.787,159.951,-3.0995790000000003,1,0.07780656787910978,-0.24788781987898895,"Popular, Moderate Dance, Positive Vibes"
This Is Tomorrow,37,0.421,0.0407,0.152,0.444,0.0948,0.512,119.46,-5.34996,0,-0.021264660050124173,0.05255460917789889,"Mid-tempo, Less Popular, Melancholic"
Impossible,81,0.376,0.0933,0.135,0.0,0.11,0.302,169.533,-3.32349,1,0.42367068095012683,0.25174311343513656,"Popular, Moderate Dance, Positive Vibes"
Hello - Edited Version,20,0.653,0.0352,0.219,0.0,0.921,0.552,123.086,-4.15064,0,-0.1927102602964543,-0.01394044380383247,"Mid-tempo, Less Popular, Melancholic"
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",11,0.216,0.0431,0.663,0.0,0.882,0.301,75.017,-4.423808,3,-0.36353656894956793,0.5806199318848607,"Acoustic, Neutral, Relaxed"
working,65,0.783,0.0588,0.282,0.0,0.0833,0.512,106.974,-3.3843,1,0.2795901683725939,0.09228336573564067,"Popular, Moderate Dance, Positive Vibes"
Love Me Like You,0,0.783,0.0432,0.199,0.0,0.274,0.842,106.05,-2.6364500000000004,2,-0.3603018583146614,-0.25396601181887885,"Upbeat, Less Popular, Positive"
death bed (coffee for your head),84,0.726,0.135,0.731,0.0,0.696,0.348,144.026,-3.777715,3,0.4049483835863308,0.5193217335775959,"Acoustic, Neutral, Relaxed"
Borrow My Heart,43,0.571,0.0303,0.08,0.0,0.478,0.741,122.955,-3.57357,1,0.06601729712665755,-0.1708891441215597,"Popular, Moderate Dance, Positive Vibes"
Always,30,0.648,0.05,0.00266,0.0,0.0717,0.594,108.012,-2.53008,0,-0.050673484933551505,-0.1474349532204589,"Mid-tempo, Less Popular, Melancholic"
Nasty Girl - Main,0,0.937,0.0473,0.0566,0.000373,0.0273,0.939,122.007,-4.93626,2,-0.32831237010004344,-0.4735840174878449,"Upbeat, Less Popular, Positive"
